strategy_name,ma_short,ma_long,stoploss,sharpe_ratio,sortino_ratio,max_drawdown,Final_Return,Total_Trades,Average_Trades_PL
7_28_0.01,7,28,0.01,0.005942793062644156,0.008520989558313544,0.33183148043092026,0.24143780175574947,795,3.472787970821719e-05
7_28_0.02,7,28,0.02,0.002791498942127532,0.003976353995146195,0.35349468601390344,0.05437033813933301,696,1.4838314155261292e-05
7_28_0.03,7,28,0.03,0.0022624472119598385,0.0032079273452663643,0.29796111184835894,0.02847563549706633,661,8.122813463892325e-06
7_28_0.04,7,28,0.04,0.0030605524722549728,0.004332929497856539,0.30653293771711343,0.06954432090458673,657,1.154491664371962e-05
7_28_0.05,7,28,0.05,-0.00012622550397877805,-0.00018123889213528358,0.41614182752597384,-0.08711817226966345,653,6.469467162642119e-07
7_28_1,7,28,1.0,-0.00012622550397877805,-0.00018123889213528358,0.41614182752597384,-0.08711817226966345,653,6.469467162642119e-07
7_29_0.005,7,29,0.005,0.01900425619318539,0.028052138383375336,0.11253025265844785,0.8960105602475592,899,8.05061569381329e-05
7_29_0.01,7,29,0.01,0.008376851030491258,0.01212593462031309,0.1586382699297212,0.3587358181942213,787,3.7592336028954664e-05
7_29_0.02,7,29,0.02,-0.0010610982248058605,-0.0015011458929977033,0.41293075696625414,-0.15324321225429927,690,-2.128192103060198e-06
7_29_0.03,7,29,0.03,0.0018715262453027049,0.00265294291065311,0.31146120874301986,0.007840403251674566,653,6.3344628537693184e-06
7_29_0.04,7,29,0.04,0.002657817889459857,0.0037617111489290215,0.32001614665318157,0.04846689182422681,649,9.680961251369737e-06
7_29_0.05,7,29,0.05,-0.0005512455611698484,-0.0007912129843238424,0.430187904458453,-0.10934703823953229,645,-1.2209418540770023e-06
7_29_1,7,29,1.0,-0.0005512455611698484,-0.0007912129843238424,0.430187904458453,-0.10934703823953229,645,-1.2209418540770023e-06
7_30_0.005,7,30,0.005,0.01963279002284624,0.02899008435413694,0.1127671787353578,0.9344654201239881,881,8.388485450800863e-05
7_30_0.01,7,30,0.01,0.009749568939035313,0.0141543616278581,0.15264246744133925,0.43658088763554237,761,4.425788041613125e-05
7_30_0.02,7,30,0.02,0.0032845933141708653,0.004674969558874422,0.33688949562998005,0.08072563240295105,664,1.9814094349190682e-05
7_30_0.03,7,30,0.03,0.0016275583875433907,0.0023056841590203994,0.28163535577257415,-0.0028387414205233163,635,4.607928469110449e-06
7_30_0.04,7,30,0.04,-0.00011511503982517999,-0.00016071589194116087,0.3462785186771803,-0.08786288514206675,631,-1.3522824007045538e-06
7_30_0.05,7,30,0.05,-0.002314824749613147,-0.0032320958433298777,0.39516681688239863,-0.17921637041563032,628,-1.3127657762568686e-05
7_30_1,7,30,1.0,-0.00015448917707553447,-0.00022206093867865675,0.3859991625768625,-0.08544714868961922,627,1.2619391867106558e-07
7_31_0.005,7,31,0.005,0.016822594383087308,0.02471717840150586,0.09971525927735903,0.7696940198752247,889,6.982139647444547e-05
7_31_0.01,7,31,0.01,0.008014651213296524,0.011569919481181676,0.1752344049716873,0.33746833449685787,765,3.347966229423513e-05
7_31_0.02,7,31,0.02,0.001671667968606957,0.0023757182989228537,0.37959059982457455,-0.012401745140413367,667,8.308082617344658e-06
7_31_0.03,7,31,0.03,-0.0028679346033500613,-0.004043226623323099,0.453351499976428,-0.2182791266750741,635,-1.9520481784290847e-05
7_31_0.04,7,31,0.04,-0.0017400015880535283,-0.0024213126845429663,0.4116456946848621,-0.17269755108497886,629,-9.42148427510137e-06
7_31_0.05,7,31,0.05,-0.004097342698389002,-0.005704708396776174,0.41482812403514613,-0.26405103635854243,626,-2.1203853494078265e-05
