,close,holding,cash_flows,trades,stoploss,trades_pl,cum_cash_flow,cash
2018-01-21 15:05:00.000,11770.0,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 15:10:00.000,11813.76,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 15:15:00.000,11764.0,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 15:20:00.000,11779.81,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 15:25:00.000,11759.99,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 15:30:00.000,11615.19,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 15:35:00.000,11505.210000000001,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 15:40:00.000,11538.0,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 15:45:00.000,11500.0,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 15:50:00.000,11485.06,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 15:55:00.000,11412.0,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 16:00:00.000,11309.0,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 16:05:00.000,11160.02,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 16:10:00.000,11232.349999999999,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 16:15:00.000,11201.01,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 16:20:00.000,11070.0,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 16:25:00.000,11247.56,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 16:30:00.000,11175.16,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 16:35:00.000,11189.98,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 16:40:00.000,11257.11,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 16:45:00.000,11410.8,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 16:50:00.000,11314.0,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 16:55:00.000,11180.0,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 17:00:00.000,11161.75,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 17:05:00.000,11070.98,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 17:10:00.000,11145.0,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 17:15:00.000,11082.76,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 17:20:00.000,11099.859999999999,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 17:25:00.000,11154.94,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 17:30:00.000,11229.98,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 17:35:00.000,11337.88,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 17:40:00.000,11350.0,0.0,0.0,0.0,0,0.0,-125.63000000001557,13689.779999999984
2018-01-21 17:45:00.000,11194.98,1.0,-11194.98,1.0,0,0.0,-11320.610000000015,2494.7999999999847
2018-01-21 17:50:00.000,11318.32,1.0,0.0,0.0,0,0.0,-11320.610000000015,2494.7999999999847
2018-01-21 17:55:00.000,11311.43,1.0,0.0,0.0,0,0.0,-11320.610000000015,2494.7999999999847
2018-01-21 18:00:00.000,11372.0,1.0,0.0,0.0,0,0.0,-11320.610000000015,2494.7999999999847
2018-01-21 18:05:00.000,11269.99,1.0,0.0,0.0,0,0.0,-11320.610000000015,2494.7999999999847
2018-01-21 18:10:00.000,11283.09,1.0,0.0,0.0,0,0.0,-11320.610000000015,2494.7999999999847
2018-01-21 18:15:00.000,11199.93,1.0,0.0,0.0,0,0.0,-11320.610000000015,2494.7999999999847
2018-01-21 18:20:00.000,11189.81,1.0,0.0,0.0,0,0.0,-11320.610000000015,2494.7999999999847
2018-01-21 18:25:00.000,11248.98,1.0,0.0,0.0,0,0.0,-11320.610000000015,2494.7999999999847
2018-01-21 18:30:00.000,11269.720000000001,1.0,0.0,0.0,0,0.0,-11320.610000000015,2494.7999999999847
2018-01-21 18:35:00.000,11238.61,0.0,11238.61,-1.0,0,0.0038972825319920634,-82.00000000001455,13733.409999999985
2018-01-21 18:40:00.000,11189.99,0.0,0.0,0.0,0,0.0,-82.00000000001455,13733.409999999985
2018-01-21 18:45:00.000,11238.04,1.0,-11238.04,1.0,0,0.0,-11320.040000000015,2495.3699999999844
2018-01-21 18:50:00.000,11224.849999999999,1.0,0.0,0.0,0,0.0,-11320.040000000015,2495.3699999999844
2018-01-21 18:55:00.000,11344.57,1.0,0.0,0.0,0,0.0,-11320.040000000015,2495.3699999999844
2018-01-21 19:00:00.000,11399.02,1.0,0.0,0.0,0,0.0,-11320.040000000015,2495.3699999999844
2018-01-21 19:05:00.000,11380.65,1.0,0.0,0.0,0,0.0,-11320.040000000015,2495.3699999999844
2018-01-21 19:10:00.000,11410.0,1.0,0.0,0.0,0,0.0,-11320.040000000015,2495.3699999999844
2018-01-21 19:15:00.000,11480.96,1.0,0.0,0.0,0,0.0,-11320.040000000015,2495.3699999999844
2018-01-21 19:20:00.000,11527.0,1.0,0.0,0.0,0,0.0,-11320.040000000015,2495.3699999999844
2018-01-21 19:25:00.000,11455.859999999999,1.0,0.0,0.0,0,0.0,-11320.040000000015,2495.3699999999844
2018-01-21 19:30:00.000,11350.0,1.0,0.0,0.0,0,0.0,-11320.040000000015,2495.3699999999844
2018-01-21 19:35:00.000,11387.949999999999,1.0,0.0,0.0,0,0.0,-11320.040000000015,2495.3699999999844
2018-01-21 19:40:00.000,11455.630000000001,1.0,0.0,0.0,0,0.0,-11320.040000000015,2495.3699999999844
2018-01-21 19:45:00.000,11370.630000000001,1.0,0.0,0.0,0,0.0,-11320.040000000015,2495.3699999999844
2018-01-21 19:50:00.000,11346.740000000002,1.0,0.0,0.0,0,0.0,-11320.040000000015,2495.3699999999844
2018-01-21 19:55:00.000,11356.99,1.0,0.0,0.0,0,0.0,-11320.040000000015,2495.3699999999844
2018-01-21 20:00:00.000,11299.9,1.0,0.0,0.0,0,0.0,-11320.040000000015,2495.3699999999844
2018-01-21 20:05:00.000,11220.11,0.0,11220.11,-1.0,0,-0.0015954739438549526,-99.93000000001484,13715.479999999985
2018-01-21 20:10:00.000,11130.0,0.0,0.0,0.0,0,0.0,-99.93000000001484,13715.479999999985
2018-01-21 20:15:00.000,11239.640000000001,0.0,0.0,0.0,0,0.0,-99.93000000001484,13715.479999999985
2018-01-21 20:20:00.000,11139.4,0.0,0.0,0.0,0,0.0,-99.93000000001484,13715.479999999985
2018-01-21 20:25:00.000,11129.93,0.0,0.0,0.0,0,0.0,-99.93000000001484,13715.479999999985
2018-01-21 20:30:00.000,11087.5,0.0,0.0,0.0,0,0.0,-99.93000000001484,13715.479999999985
2018-01-21 20:35:00.000,11075.140000000001,0.0,0.0,0.0,0,0.0,-99.93000000001484,13715.479999999985
2018-01-21 20:40:00.000,11080.01,0.0,0.0,0.0,0,0.0,-99.93000000001484,13715.479999999985
2018-01-21 20:45:00.000,11075.0,0.0,0.0,0.0,0,0.0,-99.93000000001484,13715.479999999985
2018-01-21 20:50:00.000,11031.140000000001,0.0,0.0,0.0,0,0.0,-99.93000000001484,13715.479999999985
2018-01-21 20:55:00.000,11029.96,0.0,0.0,0.0,0,0.0,-99.93000000001484,13715.479999999985
2018-01-21 21:00:00.000,11089.53,0.0,0.0,0.0,0,0.0,-99.93000000001484,13715.479999999985
2018-01-21 21:05:00.000,11031.91,0.0,0.0,0.0,0,0.0,-99.93000000001484,13715.479999999985
2018-01-21 21:10:00.000,11148.9,0.0,0.0,0.0,0,0.0,-99.93000000001484,13715.479999999985
2018-01-21 21:15:00.000,11110.0,0.0,0.0,0.0,0,0.0,-99.93000000001484,13715.479999999985
2018-01-21 21:20:00.000,11145.44,0.0,0.0,0.0,0,0.0,-99.93000000001484,13715.479999999985
2018-01-21 21:25:00.000,11126.0,0.0,0.0,0.0,0,0.0,-99.93000000001484,13715.479999999985
2018-01-21 21:30:00.000,11121.11,0.0,0.0,0.0,0,0.0,-99.93000000001484,13715.479999999985
2018-01-21 21:35:00.000,11035.04,0.0,0.0,0.0,0,0.0,-99.93000000001484,13715.479999999985
2018-01-21 21:40:00.000,11101.19,0.0,0.0,0.0,0,0.0,-99.93000000001484,13715.479999999985
2018-01-21 21:45:00.000,11079.8,0.0,0.0,0.0,0,0.0,-99.93000000001484,13715.479999999985
2018-01-21 21:50:00.000,11129.57,0.0,0.0,0.0,0,0.0,-99.93000000001484,13715.479999999985
2018-01-21 21:55:00.000,11238.99,0.0,0.0,0.0,0,0.0,-99.93000000001484,13715.479999999985
2018-01-21 22:00:00.000,11169.859999999999,1.0,-11169.859999999999,1.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-21 22:05:00.000,11200.0,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-21 22:10:00.000,11250.0,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-21 22:15:00.000,11376.3,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-21 22:20:00.000,11387.94,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-21 22:25:00.000,11267.17,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
2018-01-21 22:30:00.000,11260.0,1.0,0.0,0.0,0,0.0,-11269.790000000014,2545.6199999999862
